org_name,org_industry,amount_given,group,id,category
Ameren,Energy,90479.90,five,1,high
Missouri Hospital Association,Health Care,73786.27,five,2,high
Missouri Lawyers Media Inc.,Legal/Lobbying,58899.40,five,3,high
John Bardgett & Associates,Legal/Lobbying,58406.61,five,4,high
Missouri Beverage Association,Food/Agriculture/Beverages,54505.92,five,5,high
Missouri Cable Telecommunications Association,Technology,46991.50,five,6,high
Missouri Biotechnology Association,Technology,42064.78,five,7,high
Flotron & McIntosh,Legal/Lobbying,34424.75,five,8,high
Missouri Insurance Coalition,Financial Services/Insurance,33438.45,five,9,high
Missouri Association of Realtors,Real Estate/Construction,32571.46,five,10,high
St. Louis Regional Chamber,Chambers of Commerce,31780.08,five,11,high
AT&T,Technology,27536.66,five,12,high
CenturyLink,Technology,25081.37,five,13,high
Missouri Beer Wholesalers Association,Food/Agriculture/Beverages,24842.94,four,14,medhigh
Anheuser-Busch,Food/Agriculture/Beverages,22631.11,four,15,medhigh
Missouri Energy Development Association,Energy,22067.71,four,16,medhigh
Ameristar Casino Hotel,Entertainment,21705.02,four,17,medhigh
Missouri Automobile Dealers Association,Transportation,21525.29,four,18,medhigh
Missouri Chamber of Commerce,Chambers of Commerce,21516.97,four,19,medhigh
The Missouri Bar,Legal/Lobbying,20880.62,four,20,medhigh
Express Scripts,Health Care,20198.27,four,21,medhigh
Missouri Railroad Association,Transportation,18882.52,four,22,medhigh
University of Missouri,Education,18666.85,four,23,medhigh
Missouri Credit Union Association,Financial Services/Insurance,18413.87,four,24,medhigh
Association of Missouri Electric Cooperatives,Energy,18092.90,four,25,medhigh
Kansas City Civic Council,Government,16670.60,four,26,medhigh
Greater Kansas City Chamber of Commerce,Chambers of Commerce,16467.43,four,27,medhigh
Missouri AFL-CIO,Labor,13431.22,four,28,medhigh
Missouri Association of Trial Attorneys,Legal/Lobbying,13306.27,four,29,medhigh
Missouri Council of School Administrators,Education,13153.70,four,30,medhigh
Missouri Association of Insurance Agents,Financial Services/Insurance,12651.14,four,31,medhigh
Missouri Municipal League,Government,12571.70,four,32,medhigh
Missouri Society of Accountants,Financial Services/Insurance,12343.30,four,33,medhigh
Smithfield Foods Inc.,Food/Agriculture/Beverages,11789.47,four,34,medhigh
Missouri Independent Bankers Association,Financial Services/Insurance,11775.62,four,35,medhigh
Jefferson City Area Chamber of Commerce,Chambers of Commerce,11770.69,four,36,medhigh
Missouri Pharmacy Association,Health Care,11705.38,four,37,medhigh
Gateway Group,Transportation,11589.38,four,38,medhigh
City of Kansas City,Government,10765.19,four,39,medhigh
Jewish Federations of St. Louis,Ideology/Single-Issue,10517.50,four,40,medhigh
Missouri Dental Association,Health Care,10349.38,four,41,medhigh
Kansas City Power & Light Company,Energy,10103.74,four,42,medhigh
Missouri American Water,Other,9824.54,three,43,med
Brent Hemphill & Associates,Legal/Lobbying,9775.11,three,44,med
Glazer's Family of Companies,Food/Agriculture/Beverages,9590.02,three,45,med
Missouri One Call System Inc.,Real Estate/Construction,9402.06,three,46,med
Laclede Gas Company,Energy,9351.61,three,47,med
Missouri Association of Rehabilitation Facilities,Health Care,9051.31,three,48,med
Missouri Trucking Association,Transportation,9048.49,three,49,med
Missouri Telecommunications Industry Association,Technology,8575.34,three,50,med
R.J. Reynolds Tobacco Company,Legal/Lobbying,8374.96,three,51,med
Missouri Restaurant Association,Food/Agriculture/Beverages,8158.42,three,52,med
Missouri Bankers Association,Financial Services/Insurance,7954.09,three,53,med
Stinson Morrison Hecker,Legal/Lobbying,7910.45,three,54,med
Independent Colleges & Universities of Missouri,Education,7769.75,three,55,med
Missouri Rice Council,Food/Agriculture/Beverages,7500.00,three,56,med
Missouri Association of Prosecuting Attorneys,Legal/Lobbying,7338.05,three,57,med
Glennview Strategies,Legal/Lobbying,7155.99,three,58,med
Stinson Leonard Street LLP,Legal/Lobbying,7144.90,three,59,med
Missouri Fire Service Alliance,Labor,7130.60,three,60,med
Missouri County Collectors Association,Government,6758.68,three,61,med
Missouri Petroleum Council,Energy,6610.90,three,62,med
Steven R. Carroll & Associates,Legal/Lobbying,6561.45,three,63,med
Aetna,Health Care,6438.97,three,64,med
Empire District Electric Company,Energy,6379.46,three,65,med
Northland Regional Chamber of Commerce,Chambers of Commerce,6171.34,three,66,med
Missouri State Medical Association,Health Care,6157.07,three,67,med
Missouri Wholesale Distributors Association,Food/Agriculture/Beverages,6128.21,three,68,med
Missouri School Boards Association,Education,6125.94,three,69,med
Missouri Library Association,Government,6107.52,three,70,med
Missouri State Council Of Firefighters,Labor,6024.27,three,71,med
Jennifer Durham,Legal/Lobbying,5995.28,three,72,med
Cerner Corporation,Health Care,5989.08,three,73,med
Missouri Farm Bureau,Food/Agriculture/Beverages,5955.74,three,74,med
Microsoft Corporation,Technology,5769.00,three,75,med
St. Louis Community College,Education,5741.24,three,76,med
Missouri State University,Education,5624.95,three,77,med
Consumer Health Care Products Association,Health Care,5542.61,three,78,med
Missouri Health Care Association,Health Care,5482.78,three,79,med
Fair Energy Rate Action Fund,Energy,5465.98,three,80,med
Arnold and Associates,Legal/Lobbying,5430.36,three,81,med
Ford Motor Company,Transportation,5232.02,three,82,med
Branson/Lakes Area Chamber of Commerce,Chambers of Commerce,5136.43,three,83,med
Penman & Winton Consulting,Legal/Lobbying,5122.76,three,84,med
St. Louis Association of Realtors,Real Estate/Construction,5091.50,three,85,med
Pelopidas LLC,Legal/Lobbying,5076.27,three,86,med
Missouri Agribusiness Association,Food/Agriculture/Beverages,5060.80,three,87,med
Hy-Vee Inc.,Retail,5057.61,three,88,med
Dentons U.S. LLP,Legal/Lobbying,4864.14,two,89,medlow
Missouri Coalition of Community Mental Health Centers,Health Care,4833.71,two,90,medlow
Missouri Press Association,Other,4550.17,two,91,medlow
Missouri Optometric Association,Health Care,4494.62,two,92,medlow
Burch & Associates,Legal/Lobbying,4494.62,two,93,medlow
Catalyst Group,Legal/Lobbying,4446.51,two,94,medlow
The Leukemia & Lymphoma Society,Health Care,4324.70,two,95,medlow
Pfizer Inc.,Health Care,4303.04,two,96,medlow
Comcast,Technology,4247.82,two,97,medlow
Missouri Residential Care Association,Health Care,4164.86,two,98,medlow
Missouri Park & Recreation Association,Government,4155.00,two,99,medlow
Missouri Farmers Care,Food/Agriculture/Beverages,4150.51,two,100,medlow
Students First,Education,4133.76,two,101,medlow
Port Authority of Kansas City,Government,4123.66,two,102,medlow
SSM Health Care,Health Care,4100.40,two,103,medlow
Missouri Probation and Parole Officers Association,Labor,3936.45,two,104,medlow
Time Warner Cable,Technology,3863.10,two,105,medlow
Fred Dreiling LLC,Legal/Lobbying,3856.59,two,106,medlow
